genome start end	
2695420466 2696111609 2696113608
2698536328 2698646910 2698648876
2548876555 2549063908 2549065713
2609460182 2611823301 2611825453
2675903483 2678140077 2678142110
2548876554 2549062100 2549063907
2667527923 2670041011 2670043152
2537561985 2539387439 2539389804
2681813333 2683817247 2683819389
2531839169 2532492618 2532494643
2660238572 2662922967 2662925106
2667527574 2668628264 2668630312
2671180502 2673037919 2673040028
2703719431 2706740857 2706743053
2671180874 2674553360 2674555590
2713897001 2715190628 2715192818
2667527711 2669166807 2669168945
2700989203 2701701449 2701703680
2548876609 2549166580 2549168449
2690315783 2691066765 2691069326
2537562125 2539871142 2539873356
2660238372 2662136930 2662139109
2687453411 2688676577 2688678738
2660238566 2662896994 2662899049
2728368954 2728590113 2728592345
2558860308 2559499742 2559501697
2700989311 2702125218 2702127380
2706794413 2706821334 2706823281
2695420835 2697677080 2697679144
2657245427 2658932340 2658934363
2660238405 2662265570 2662267807
2657245573 2659518676 2659520714
2534681986 2536204063 2536206141
2534682248 2537126917 2537129029
2531839413 2533439749 2533442011
2700989330 2702189152 2702191313
2663762629 2663877382 2663879333
2671180525 2673142081 2673144174
2703718627 2703776332 2703778319
2734482614 2736991999 2736994078
2744054825 2745792616 2745794313
2700989288 2702046422 2702048477
2660237925 2660326368 2660328623
2737471913 2738231794 2738234018
2734482681 2737128041 2737130059
2713897264 2716285007 2716287127
2703718716 2704138274 2704140292
2737471940 2738289582 2738291694
2675903392 2677784643 2677786823
2721755618 2723295221 2723297086
650377980 650458075 650460064
2695420533 2696418647 2696420655
638341208 638475539 638476902
2734482724 2737215500 2737217528
2663763316 2666533101 2666535378
2690316213 2692712387 2692714643
2724679333 2726433488 2726435548
643692042 643749941 643752083
2663763052 2665457875 2665460011
642555164 642733259 642735443
2734482605 2736973923 2736975949
2657245640 2659777500 2659779653
2734482678 2737121881 2737123899
2660238382 2662170834 2662172919
2703719443 2706766528 2706768526
2675903608 2678605949 2678607961
2671181178 2675834585 2675836736
2660238122 2661110902 2661112991
2700989325 2702171220 2702173295
650377977 650616982 650619030
2737471947 2738304469 2738306573
2671180273 2672086975 2672088975
2660238274 2661716284 2661718418
2740892334 2743074052 2743076242
2744054829 2745799587 2745801280
2737471901 2738205659 2738207699
2724679339 2726445939 2726448040
2660238547 2662826144 2662828009
2734482745 2737258233 2737260299
2703718609 2703738223 2703740397
2734482691 2737148354 2737150382
2548876891 2550254676 2550256727
2684623069 2686668891 2686670611
2690315938 2691625728 2691627899
2703719439 2706757994 2706759992
2671180830 2674369435 2674371485
649990012 649989900 649992169
2681813081 2682781613 2682783616
2734482734 2737235946 2737237969
2724679192 2725809819 2725811910
2551306449 2553103134 2553105447
639633062 639654502 639677563
2744054816 2745763572 2745765459
2663762871 2664746136 2664748281
2734482657 2737079240 2737081367
2660238639 2663191400 2663193467
2775507215 2777950561 2777952196
2713897037 2715268920 2715271112
640427147 640515550 640517806
2734482679 2737123900 2737125955
2700989206 2701709885 2701712110
2703718713 2704132122 2704134163
2690315822 2691205818 2691207932
2718218174 2720397390 2720399562
2657245441 2658985063 2658987130
2698536563 2699607113 2699609158
2737471960 2738331700 2738333796
2700989315 2702133638 2702135842
2703719452 2706785857 2706787903
2767802291 2769628153 2769630129
2684622749 2685540082 2685542154
2684623180 2687088271 2687090239
2671180400 2672620762 2672623019
2548876634 2549218566 2549220717
2534682320 2537362512 2537364603
2648501888 2651682285 2651684531
2548876593 2549134743 2549136555
2660238136 2661173210 2661175330
2663763071 2665527821 2665529771
2558860347 2559576767 2559578630
2660237971 2660517901 2660519992
2603880029 2605594631 2605596860
2558860302 2559487908 2559489908
2684622776 2685658084 2685660109
2537561630 2538026972 2538029298
2684622519 2684693548 2684695334
2534682243 2537116203 2537118432
2703719437 2706753982 2706756069
2558860370 2559665121 2559667441
2695420593 2696665523 2696667695
2700989184 2701636768 2701638885
2537561941 2539235756 2539237693
2531839063 2532112366 2532114362
2700989318 2702140168 2702142351
2667528063 2670635686 2670637843
2660238471 2662513830 2662515921
2531839563 2533992711 2533995035
2724679329 2726425167 2726427268
2713897005 2715199405 2715201599
2713896914 2714847982 2714850109
2660238178 2661317928 2661319983
2548876550 2549054829 2549056669
2724679334 2726435550 2726437610
2563366551 2563577661 2563579598
2690315866 2691361600 2691363452
2675903657 2678803804 2678805942
2660238421 2662320247 2662322467
2724679337 2726441808 2726443874
2548876650 2549254400 2549256527
2681813328 2683806613 2683808750
2698536481 2699279323 2699281406
2681812816 2681882080 2681884270
2667527939 2670101563 2670103738
2548876557 2549067529 2549069347
2690316113 2692295571 2692297618
2558860937 2561365890 2561367783
2660238003 2660639961 2660642128
2724679483 2727011076 2727013281
2728368961 2728605034 2728607281
2534681768 2535397887 2535399941
2606217755 2608463789 2608466012
2671180270 2672074127 2672076198
2558860322 2559527715 2559529680
2548876575 2549100381 2549102283
2671180386 2672562940 2672564958
2698536496 2699337657 2699340049
2671181176 2675830537 2675832541
2537562211 2540186532 2540188866
2534682318 2537358276 2537360390
2667527714 2669180761 2669182979
2657245029 2657803680 2657805857
2684622599 2685014478 2685016507
2548876596 2549140301 2549142515
2671180238 2671950812 2671952884
2663763535 2667411284 2667413405
2534682117 2536647675 2536650007
2548876897 2550267491 2550269750
2667527502 2668400791 2668402744
2529293177 2531488966 2531491288
2627853682 2628522274 2628524163
2703718603 2703725089 2703727346
2531839599 2534143876 2534146237
2558860373 2559671797 2559673722
2695420672 2697004175 2697006259
2548876563 2549078450 2549080315
2713897022 2715236241 2715238413
2713897015 2715221135 2715223259
2529292983 2530763753 2530765827
2700989190 2701659674 2701661715
2547132249 2547989738 2547991944
2671181068 2675359283 2675361287
